Year	0_temp	1_temp	2_temp	3_temp	4_temp
2173	1.06748361433	1.47373364991	2.03550288276	1.27297669277	1.70403050855
2174	1.06732135525	1.47349154803	2.03611466941	1.27266161812	1.70404373706
2175	1.06716061429	1.47325217072	2.03672786206	1.2723490358	1.70405939295
2176	1.06700136108	1.47301544067	2.03734235338	1.2720388868	1.70407738448
2177	1.0668435641	1.47278127893	2.0379580333	1.27173111079	1.70409761781
2178	1.06668719568	1.47254961367	2.03857480132	1.2714256532	1.70412000742
2179	1.06653223226	1.47232038062	2.03919256723	1.27112246563	1.70414447665
2180	1.06637864884	1.47209351342	2.03981123751	1.27082149795	1.70417094624
2181	1.06622642005	1.47186894548	2.04043071809	1.2705226998	1.70419933661
2182	1.06607551566	1.4716466021	2.04105090328	1.27022601425	1.7042295585
2183	1.06592590361	1.47142640578	2.04167168326	1.26993138204	1.7042615193
2184	1.06577755772	1.47120828982	2.04229296307	1.26963875266	1.70429513911
2185	1.06563045602	1.47099219526	2.04291465832	1.26934808183	1.70433034709
2186	1.065484579	1.47077806794	2.04353669123	1.26905932915	1.70436707808
2187	1.06533990848	1.47056585646	2.04415898768	1.26877245636	1.70440527012
2188	1.06519642453	1.47035550681	2.0447814698	1.26848742309	1.70444485814
2189	1.06505411057	1.47014697123	2.04540406833	1.26820419396	1.70448578447
2190	1.06491295356	1.46994020871	2.04602672335	1.26792273902	1.70452799937
2191	1.06477293856	1.46973517529	2.04664937074	1.26764302585	1.70457144961
2192	1.06463404979	1.469531826	2.04727194492	1.26736502118	1.70461608078
2193	1.06449626615	1.46933010701	2.04789436787	1.26708868443	1.70466182797
2194	1.06435956429	1.46912996094	2.04851655658	1.26681397214	1.70470862212
2195	1.06422392635	1.46893134051	2.0491384421	1.26654084894	1.70475640608
2196	1.06408933826	1.46873420549	2.04975996529	1.26626928512	1.70480513104
2197	1.06395578806	1.46853851981	2.05038107284	1.26599925429	1.70485475314
2198	1.06382326476	1.4683442495	2.05100171438	1.26573073169	1.70490523099
2199	1.06369175531	1.46815135738	2.05162183506	1.26546368989	1.70495651948
2200	1.06356124964	1.46795981194	2.05224138799	1.26519810597	1.70500858017
2201	1.06343174097	1.46776958783	2.05286033493	1.26493396195	1.70506138196
2202	1.0633032203	1.46758065621	2.05347863278	1.26467123697	1.70511488965
2203	1.06317567751	1.4673929867	2.05409623638	1.2644099088	1.70516906626
2204	1.06304909691	1.46720653953	2.05471308749	1.26414994756	1.70522386374
2205	1.06292346029	1.46702127095	2.05532912233	1.26389132001	1.70527922933
2206	1.06279875472	1.46683714676	2.05594429056	1.26363400065	1.70533512166
2207	1.06267497079	1.46665413938	2.05655855114	1.26337796926	1.70539150717
2208	1.06255210104	1.46647222497	2.05717186829	1.26312320857	1.70544835678
2209	1.06243014343	1.46629138959	2.0577842202	1.26286970928	1.70550565312
2210	1.06230909561	1.46611161906	2.05839558481	1.26261746185	1.70556337864
2211	1.06218895002	1.46593289045	2.0590059279	1.26236644953	1.70562150544
2212	1.06206969869	1.46575518046	2.05961521488	1.26211665522	1.70568000524
2213	1.06195133432	1.46557846729	2.06022341328	1.26186806295	1.70573885159
2214	1.06183385054	1.4654027311	2.06083049355	1.26162065831	1.70579802041
2215	1.06171723805	1.46522794727	2.06143641948	1.26137442288	1.70585748196
2216	1.06160148877	1.46505409355	2.06204115835	1.26112934017	1.70591720942
2217	1.06148660147	1.4648811601	2.06264469481	1.26088540362	1.70597719062
2218	1.0613725785	1.46470914362	2.0632470228	1.26064261197	1.70603742121
2219	1.06125942485	1.4645380457	2.06384814323	1.26040096785	1.70609790266
2220	1.06114714764	1.46436787197	2.06444806275	1.2601604771	1.70615864125
2221	1.06103575332	1.4641986272	2.06504678695	1.25992114478	1.70621964231
2222	1.06092524683	1.46403031375	2.06564431824	1.25968297396	1.70628090838
2223	1.06081563294	1.46386293399	2.0662406591	1.25944596763	1.70634244206
2224	1.06070691671	1.46369649104	2.06683581326	1.25921012933	1.7064042469
2225	1.060599103	1.46353098794	2.0674297844	1.25897546249	1.70646632638
2226	1.06049219153	1.46336641898	2.06802256419	1.25874196335	1.7065286737
2227	1.06038617979	1.4632027748	2.06861413928	1.25850962514	1.70659127784
